"scenario","resource","year","value","lead_times","supply_factor","supply_lead_combined","Units"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2055,0.748699618971723,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2060,0.827885365626438,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2065,0.884625691912848,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2070,0.949530248910288,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2075,1.01362156788582,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2080,1.08394255290472,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2085,1.15740993908403,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2090,1.21067996898889,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2095,1.25516767664771,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","lithium",2100,1.29628949559557,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",1975,0.670705569055022,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",1990,0.97400043069754,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2005,1.45999896397657,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2010,1.70999939634809,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2015,2.10987617093723,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2021,2.73539608279896,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2025,2.76637903579079,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2030,3.20383295511804,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2035,3.49885218734113,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2040,3.8104225154671,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2045,4.2865927798039,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2050,4.91488452578701,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2055,5.46306645260793,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2060,5.98700859054649,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2065,6.40609355559504,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2070,6.79169573402141,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2075,7.14644860390914,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2080,7.56657058792369,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2085,7.91041934975279,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2090,8.26190531782733,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2095,8.59374331602141,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_noTC","nickel",2100,8.8792526494726,"Average lead times","Steady-state constrained supply","Average lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",1975,20.018014268371,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",1990,9.32972113681658,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2005,14.9585702290667,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2010,16.0922717462195,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2015,19.2826897038173,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2021,21.6903007206488,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2025,22.9224026252686,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2030,26.9871027748807,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2035,30.9080677497379,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2040,35.3436882977325,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2045,39.2304556911531,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2050,41.6672646116945,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2055,43.7255855755176,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2060,47.0286486868807,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2065,49.944913547939,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2070,53.0733619929872,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2075,55.8197147897303,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2080,58.7227426830316,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2085,61.1193311818337,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2090,63.5414627719476,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2095,65.7768561951461,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2100,67.9487433613483,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",1975,0.009775007051513,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",1990,0.012369999039029,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2005,0.020300003066177,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2010,0.024400000575048,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2015,0.032199990491484,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2021,0.10688003872354,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
