"Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2030,78.94723372,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2035,95.21951174,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2040,125.17524136,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2045,173.21177886,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2050,237.45894576,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2055,314.12279996,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2060,399.51369106,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2065,490.71797436,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2070,585.65690666,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2075,682.93377306,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2080,781.64612546,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2085,881.22660786,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2090,981.32596306,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2095,1081.73255166,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
