"Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2030,2389.819725832,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2035,2494.959948882,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2040,2683.097416982,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2045,2939.969431582,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2050,3221.400028982,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2055,3486.424876582,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2060,3710.910734582,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2065,3886.976011282,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2070,4017.307206962,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2075,4109.565567582,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2080,4172.601320942,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2085,4214.456141502,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2090,4241.601519442,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2095,4258.865270772,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","copper",2100,4269.664374356,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",1975,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",1990,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2005,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2010,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2015,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2021,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2025,58.8330352,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2030,78.81649309,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2035,92.75328534,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2040,112.93357113,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2045,138.5711829,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2050,165.24237205,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2055,189.35699268,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2060,209.16439007,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2065,224.36342109,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2070,235.45580116,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2075,243.24761966,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2080,248.55945131,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2085,252.094634824,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2090,254.40155792,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2095,255.882504347,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","lithium",2100,256.820141468,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",1975,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",1990,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2005,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2010,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2015,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2021,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2025,281.773528302,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2030,290.76207396403,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2035,304.41795259373,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2040,326.43208611673,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2045,356.67073572873,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2050,391.46405666773,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2055,426.31165528573,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2060,457.76304129973,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2065,483.98978498573,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2070,504.55423282773,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2075,519.90788137873,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2080,530.92371132073,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2085,538.57132096903,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2090,543.73585806203,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2095,547.14249740093,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_noTC","nickel",2100,549.34459525103,"Baseline constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",1975,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",1990,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2005,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2010,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2015,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2021,2280.499203,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2025,2345.28436792,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2030,2446.84270757,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2035,2689.25006857,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2040,3067.49897937,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2045,3457.14835887,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2050,3770.79152457,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2055,3987.10701357,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2060,4121.6118184,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2065,4199.33239656,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2070,4241.87473422,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2075,4264.21866631,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2080,4275.579827147,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2085,4281.208329298,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2090,4283.938126173,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2095,4285.2388770179,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","copper",2100,4285.8495223258,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",1975,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",1990,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2005,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2010,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2015,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2021,14.668896,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2025,68.5255552,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2030,87.45040781,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2035,113.80689097,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2040,151.08549599,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2045,186.93787138,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2050,214.47029967,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2055,232.93330804,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2060,244.26608961,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2065,250.80644301,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2070,254.41435234,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2075,256.337322042,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2080,257.334913871,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2085,257.841297372,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2090,258.0937809695,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2095,258.2177994632,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","lithium",2100,258.2779480297,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",1975,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",1990,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2005,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2010,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2015,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2021,277.5125142,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2025,284.15092464,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2030,298.7194310021,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2035,327.1151571011,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2040,371.7541660351,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2045,421.7467186721,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2050,465.9475968241,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2055,499.2615136001,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2060,521.6978102271,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2065,535.6064015791,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2070,543.6995356586,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2075,548.179904284,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2080,550.5626221429,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2085,551.78864191895,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2090,552.4023277615,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2095,552.70241429674,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_BR_shortLT_noTC","nickel",2100,552.84624340598,"Baseline constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Baseline constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",1975,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",1990,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2005,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2010,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2015,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2021,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2025,2325.933097312,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2030,2390.828392772,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2035,2515.501345472,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2040,2791.443157572,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2045,3261.558928272,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2050,3917.299588072,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2055,4723.994100072,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2060,5641.683980772,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2065,6635.642004072,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2070,7679.544616472,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2075,8755.014848672,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2080,9849.908077872,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2085,10956.503417472,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2090,12070.030973272,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2095,13187.612993672,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_EnR_SS_noTC","copper",2100,14307.537846972,"Steady-state constrained supply","01272026_His_constrSupply_EnR_noTC","Average lead times","Average lead times Steady-state constrained supply"
