"","Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"29","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2075,35.9508282053775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"30","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2080,41.4522108966525,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"31","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2085,47.3421943681775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"32","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2090,53.5257865367775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"33","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2095,59.9662813962425,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"34","Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2100,66.636851005523,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"35","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"36","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2025,14.9681752795,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"37","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2030,31.29443145825,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"38","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2035,48.923703599,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"39","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2040,68.112981029,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"40","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2045,89.92394698975,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"41","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2050,114.96137176975,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"42","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2055,143.12776330575,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"43","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2060,173.975154539,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"44","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2065,207.01479732775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"45","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2070,242.010810348525,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"46","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2075,278.838134039775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"47","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2080,317.657423190975,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"48","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2085,358.2465992682,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"49","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2090,400.4120284629,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"50","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2095,444.11767022335,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"51","Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2100,489.211184405775,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"52","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"53","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2025,117.00258831,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"54","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2030,254.7180156465,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"55","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2035,413.3108401075,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"56","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2040,595.23256823855,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"57","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2045,799.90264484765,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"58","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2050,1017.3836560487,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"59","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2055,1243.41417230205,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"60","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2060,1483.2858280098,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"61","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2065,1737.69205574672,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"62","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2070,2008.34104339537,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"63","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2075,2293.33458629765,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"64","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2080,2592.40840948952,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"65","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2085,2904.55945037333,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"66","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2090,3228.26554956527,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"67","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2095,3562.71940353546,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"68","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2100,3912.79690481657,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"69","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"70","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2025,0.76646289825,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"71","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2030,2.24452762725,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"72","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2035,4.4392032699,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"73","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2040,7.14373657385,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"74","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2045,10.440714271575,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"75","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2050,14.119063274225,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"76","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2055,18.113094225875,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"77","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2060,22.48255268199,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
